1505,nu,1.0
1507,nu,1.0491803278688525
1515,nu,1.0114942528735633
1520,nu,1.037037037037037
1524,chi,1.0
1524,nu,1.0069444444444444
1525,nu,1.0
1527,nu,1.0
1541,nu,1.0
1563,chi,1.0
1563,nu,1.0217391304347827
1564,chi,1.0
1564,nu,1.0172413793103448
1568,nu,1.2903225806451613
1572,nu,1.0222222222222221
1574,nu,1.03125
1575,nu,1.0
1579,nu,1.3214285714285714
1581,nu,1.234113712374582
1582,nu,1.0
1584,nu,1.0
1587,nu,1.7575757575757576
1588,nu,1.0
1589,nu,1.2083333333333333
1590,nu,1.676056338028169
1592,nu,1.5238095238095237
1593,nu,1.0476190476190477
1594,nu,1.0
1595,nu,1.631578947368421
1597,nu,1.0
1598,nu,1.2063492063492063
1600,nu,1.0
1602,nu,1.0
1603,nu,1.0
1605,nu,1.0
1606,nu,2.5
1607,nu,1.0666666666666667
1610,nu,1.0
1611,nu,1.0434782608695652
1612,nu,1.0
1614,nu,1.0
1618,nu,1.0
1619,nu,1.0
1620,nu,1.3125
1621,nu,1.2777777777777777
1623,nu,1.8846153846153846
1624,nu,1.135135135135135
1625,nu,1.0
1626,nu,1.0
1628,nu,1.0
1629,nu,1.1111111111111112
1630,nu,1.380952380952381
1631,chi,1.0
1631,nu,1.0216216216216216
1632,nu,1.04
1634,nu,2.4444444444444446
1635,chi,1.0
1635,nu,1.2210526315789474
1636,nu,1.7727272727272727
1637,haw,1.0
1637,nu,1.3269230769230769
1638,nu,1.1081081081081081
1640,nu,1.1956521739130435
1641,nu,1.1923076923076923
1642,nu,1.328125
1643,nu,1.4915254237288136
1644,nu,1.300469483568075
1645,chi,1.0
1645,nu,1.17
1646,nu,1.0
1647,nu,1.3617021276595744
1648,chi,1.0
1648,nu,1.4018691588785046
1649,nu,1.7619047619047619
1650,nu,1.6527777777777777
1651,nu,1.5145631067961165
1652,nu,1.3125
1653,nu,1.8613861386138615
1654,nu,1.3
1655,nu,1.4352941176470588
1656,nu,1.2523364485981308
1657,nu,1.3838383838383839
1658,nu,1.5611940298507463
1659,nu,1.2321428571428572
1660,nu,1.5423728813559323
1661,nu,1.28
1662,chi,1.0
1662,nu,1.2238805970149254
1663,nu,2.440677966101695
1664,chi,1.0
1664,nu,1.5517241379310345
1665,nu,2.1320754716981134
1666,nu,1.3488372093023255
1667,chi,1.0
1667,nu,1.6369863013698631
1668,nu,1.4519774011299436
1669,nu,1.3195876288659794
1670,nu,1.5384615384615385
1671,nu,1.46
1672,chi,1.0
1672,nu,1.4198473282442747
1673,chi,1.0
1673,nu,1.7715736040609138
1674,nu,1.2542372881355932
1675,chi,1.0
1675,nu,2.0460992907801416
1676,chi,1.0
1676,nu,1.7977207977207976
1677,chi,1.0
1677,nu,1.7622950819672132
1678,chi,1.0
1678,nu,2.139705882352941
1679,nu,1.6307692307692307
1680,nu,2.0033783783783785
1681,nu,2.069023569023569
1682,nu,2.4335839598997495
1683,chi,2.0
1683,nu,2.482897384305835
1684,chi,1.0
1684,nu,2.2072368421052633
1685,chi,1.0
1685,nu,2.521865889212828
1686,chi,1.0
1686,nu,2.4043478260869566
1687,nu,1.7400881057268722
1688,nu,1.938034188034188
1689,nu,2.195744680851064
1690,nu,2.144578313253012
1691,nu,1.7153846153846153
1692,chi,1.0
1692,nu,2.1020408163265305
1693,chi,1.0
1693,nu,2.181318681318681
1694,nu,2.6055045871559632
1695,chi,2.75
1695,nu,2.3089005235602094
1696,chi,1.0
1696,nu,2.270935960591133
1697,chi,1.0
1697,nu,1.6645962732919255
1698,chi,1.0
1698,nu,2.59375
1699,chi,1.6666666666666667
1699,nu,2.5615384615384613
1700,chi,1.0
1700,haw,1.0
1700,nu,2.8200836820083683
1701,nu,2.787835926449788
1702,chi,1.0
1702,nu,3.1694402420574885
1703,chi,1.0
1703,nu,3.243181818181818
1704,chi,1.0
1704,nu,3.693014705882353
1705,chi,1.0
1705,nu,3.268330733229329
1706,chi,1.3333333333333333
1706,nu,3.4992389649923896
1707,chi,1.0
1707,nu,2.719033232628399
1708,chi,1.0
1708,nu,3.3380447585394584
1709,chi,1.0
1709,nu,3.2552301255230125
1710,chi,1.0
1710,nu,3.462085308056872
1711,chi,1.1818181818181819
1711,nu,3.5493612078977934
1712,chi,1.2222222222222223
1712,nu,2.5632716049382718
1713,nu,3.2356687898089174
1714,chi,1.25
1714,nu,4.07959479015919
1715,chi,1.0
1715,nu,3.3796407185628743
1716,chi,1.6666666666666667
1716,nu,2.7720125786163523
1717,chi,2.0
1717,nu,3.9559939301972684
1718,chi,1.25
1718,nu,3.4563253012048194
1719,chi,1.0
1719,nu,3.718861209964413
1720,chi,1.1818181818181819
1720,nu,4.095816464237517
1721,chi,1.3333333333333333
1721,nu,3.539772727272727
1722,chi,1.0
1722,nu,3.868451688009313
1723,chi,2.0
1723,nu,3.547674418604651
1724,chi,1.368421052631579
1724,nu,3.791314837153197
1725,chi,1.0
1725,nu,3.63871543264942
1726,chi,1.2857142857142858
1726,haw,1.0
1726,nu,3.8874895046179683
1727,chi,1.1333333333333333
1727,haw,1.0
1727,nu,3.7968633308439133
1728,chi,1.3333333333333333
1728,nu,4.252883762200533
1729,chi,1.3076923076923077
1729,nu,4.119307832422587
1730,chi,1.1818181818181819
1730,nu,3.8515318146111546
1731,chi,1.0
1731,nu,4.2717770034843205
1732,chi,1.5
1732,nu,4.167898627243928
1733,chi,2.0
1733,nu,3.447806354009077
1734,chi,1.1428571428571428
1734,haw,1.0
1734,nu,3.989637305699482
1735,chi,1.5
