time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-11T23:20:45.620Z,35.0405,-117.6731667,-0.82,1.41,ml,12,73,0.1076,0.13,ci,ci40439800,2023-04-12T00:11:57.840Z,"5km NNW of Boron, CA",quarry blast,0.49,31.61,0.161,17,reviewed,ci,ci
2023-04-11T23:13:18.520Z,33.7081667,-116.7546667,16.1,0.72,ml,24,81,0.03389,0.1,ci,ci40439792,2023-04-12T00:04:26.266Z,"5km SW of Idyllwild, CA",earthquake,0.29,0.26,0.141,13,reviewed,ci,ci
2023-04-11T23:05:57.810Z,39.3031667,-122.8476667,6.84,2.48,md,48,40,0.1765,0.15,nc,nc73870940,2023-04-12T01:00:16.246Z,"15km SE of Lake Pillsbury, CA",earthquake,0.19,0.77,0.177,49,reviewed,nc,nc
2023-04-11T22:54:47.380Z,46.831833333333336,-121.952,7.83,0.56,ml,13,202,0.01013,0.08,uw,uw61917296,2023-04-12T00:07:52.810Z,"10 km NE of Ashford, Washington",earthquake,0.4,0.44,0.11397222365291934,6,reviewed,uw,uw
2023-04-11T22:45:01.260Z,38.7905006,-122.777832,1.17,0.42,md,7,91,0.008323,0.01,nc,nc73870930,2023-04-11T23:25:13.677Z,"2km NW of The Geysers, CA",earthquake,0.41,1.14,0.27,8,automatic,nc,nc
2023-04-11T22:44:38.738Z,-18.6772,169.2128,208.517,4.7,mb,37,105,3.743,1.02,us,us6000k3mn,2023-04-11T23:02:40.040Z,"95 km N of Isangel, Vanuatu",earthquake,10.43,8.175,0.059,90,reviewed,us,us
2023-04-11T22:40:28.400Z,38.8156662,-122.8146667,-0.62,0.91,md,8,123,0.008511,0.09,nc,nc73870925,2023-04-11T23:13:15.606Z,"7km NW of The Geysers, CA",earthquake,0.61,1.29,0.44,8,automatic,nc,nc
2023-04-11T22:37:39.340Z,38.8071671,-122.8164978,3.12,0.71,md,7,118,0.01658,0.02,nc,nc73870920,2023-04-11T23:01:13.518Z,"6km WNW of The Geysers, CA",earthquake,0.78,1.77,0.11,8,automatic,nc,nc
2023-04-11T22:33:03.270Z,38.6341667,-122.7143326,9.7,1,md,6,181,0.05422,0.07,nc,nc73870915,2023-04-11T22:49:15.435Z,"13km NE of Windsor, CA",earthquake,3.82,8.34,0.13,6,automatic,nc,nc
2023-04-11T22:29:34.540Z,57.5734,-154.7703,30.6,1.7,ml,,,,0.79,ak,ak0234nejvm6,2023-04-11T22:31:58.081Z,"18 km W of Karluk, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-04-11T22:28:21.690Z,17.9595,-66.9621666666667,6.44,2.21,md,5,200,0.07873,0.05,pr,pr71404243,2023-04-11T22:39:28.620Z,"5 km WSW of Fuig, Puerto Rico",earthquake,0.76,0.39,0.0538929178762662,4,reviewed,pr,pr
2023-04-11T22:14:05.597Z,61.3455,-150.1133,34.7,1.9,ml,,,,0.31,ak,ak0234negln3,2023-04-11T22:15:48.256Z,"7 km WSW of Point MacKenzie, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-04-11T22:14:00.070Z,36.5768318,-121.2545013,10.86,1.49,md,5,118,0.05586,0.01,nc,nc73870900,2023-04-12T00:29:21.066Z,"11km WNW of Pinnacles, CA",earthquake,0.68,1.16,0.25,5,automatic,nc,nc
2023-04-11T21:51:25.401Z,59.6162,-152.4522,71.1,1.7,ml,,,,0.48,ak,ak0234ne3524,2023-04-11T21:53:12.714Z,"39 km WSW of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-04-11T21:51:19.080Z,17.9578333333333,-66.9625,14.99,2.18,md,6,202,0.07864,0.15,pr,pr71404238,2023-04-11T21:58:20.610Z,"5 km SW of Fuig, Puerto Rico",earthquake,0.89,0.92,0.138173942045115,4,reviewed,pr,pr
2023-04-11T21:51:17.640Z,34.0006667,-118.3006667,12.4,1.93,ml,51,47,0.02199,0.18,ci,ci40439784,2023-04-11T23:56:31.589Z,"4km E of View Park-Windsor Hills, CA",earthquake,0.23,0.36,0.147,28,reviewed,ci,ci
2023-04-11T21:41:44.050Z,33.9956667,-118.2898333,13.67,1.58,ml,29,63,0.02365,0.2,ci,ci40439776,2023-04-11T22:29:43.650Z,"5km NW of Florence-Graham, CA",earthquake,0.41,0.53,0.216,21,reviewed,ci,ci
2023-04-11T21:26:56.550Z,38.7871666,-122.7401657,-0.85,0.79,md,6,106,0.004757,0.04,nc,nc73870880,2023-04-11T22:08:13.204Z,"2km NE of The Geysers, CA",earthquake,0.36,1.63,0.53,7,automatic,nc,nc
2023-04-11T21:26:39.940Z,38.7866669,-122.746666,1.33,0.72,md,9,83,0.008491,0.01,nc,nc73870875,2023-04-11T23:31:14.715Z,"1km NE of The Geysers, CA",earthquake,0.43,0.64,0.46,7,automatic,nc,nc
2023-04-11T21:26:31.270Z,38.7874985,-122.7471695,1.3,1.26,md,16,83,0.009205,0.02,nc,nc73870870,2023-04-11T23:05:18.554Z,"1km NE of The Geysers, CA",earthquake,0.25,0.46,0.37,16,automatic,nc,nc
2023-04-11T21:13:46.507Z,61.9292,-151.4998,74,2,ml,,,,0.51,ak,ak0234ndv1h6,2023-04-11T21:23:58.040Z,"8 km SW of Skwentna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-04-11T21:13:16.052Z,64.0388,-148.7938,0,1.5,ml,,,,0.95,ak,ak0234nduz4k,2023-04-11T21:15:22.394Z,"15 km E of Ferry, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-04-11T21:13:05.670Z,33.8821667,-116.8915,10.86,0.93,ml,23,99,0.0921,0.13,ci,ci40439760,2023-04-11T23:59:46.743Z,"5km SSW of Banning, CA",earthquake,0.2,0.65,0.163,12,reviewed,ci,ci
2023-04-11T21:09:41.930Z,36.6246681,-121.2588348,6.45,1.82,md,22,84,0.04698,0.24,nc,nc73870865,2023-04-11T22:38:14.378Z,"15km NW of Pinnacles, CA",earthquake,0.51,1.4,0.17,21,automatic,nc,nc
2023-04-11T21:02:37.050Z,38.9501666666667,-87.7645,19.99,2.41,md,17,111,0.3391,0.25,nm,nm60500608,2023-04-11T21:25:27.802Z,"6 km SSW of Robinson, Illinois",earthquake,0.62,0.79,0.0245128929033616,6,reviewed,nm,nm
2023-04-11T21:02:18.997Z,28.7864,142.5564,23.442,4.6,mb,40,141,4.916,0.55,us,us6000k3mb,2023-04-11T21:44:56.040Z,"Bonin Islands, Japan region",earthquake,9.02,5.266,0.08,47,reviewed,us,us
2023-04-11T21:01:07.970Z,38.824501,-122.8036652,2.48,0.78,md,10,104,0.01775,0.01,nc,nc73870860,2023-04-11T22:11:19.218Z,"7km NW of The Geysers, CA",earthquake,0.41,1.01,0.13,13,automatic,nc,nc
2023-04-11T20:47:57.013Z,58.2509,-155.1461,1.4,1.1,ml,,,,0.53,ak,ak0234ndgx11,2023-04-11T20:50:06.929Z,"86 km NNW of Karluk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-04-11T20:46:41.552Z,60.837,-152.4853,3.8,1.8,ml,,,,1.18,ak,ak0234ndgo4b,2023-04-11T20:50:04.813Z,"67 km WNW of Nikiski, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-04-11T20:38:18.326Z,59.6964,-153.732,126.5,0.7,ml,,,,0.32,ak,ak0234ndevme,2023-04-11T20:40:12.750Z,"Southern Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-04-11T20:35:20.734Z,37.0309,137.1615,267.162,4,mb,62,68,0.967,0.57,us,us6000k3m1,2023-04-11T21:59:32.040Z,"17 km E of Nanao, Japan",earthquake,8.38,6.264,0.081,44,reviewed,us,us
2023-04-11T20:30:23.560Z,17.9341666666667,-66.9681666666667,16.03,1.55,md,4,227,0.08045,0.03,pr,pr71404228,2023-04-11T20:45:41.310Z,"7 km WSW of Guánica, Puerto Rico",earthquake,1.96,0.74,0.0138740021710397,3,reviewed,pr,pr
2023-04-11T20:23:36.591Z,62.9205,-151.1191,126.8,1.7,ml,,,,0.29,ak,ak0234ndbq9n,2023-04-11T20:26:21.417Z,"Central Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-04-11T20:14:06.750Z,17.9495,-66.9433333333333,12.77,2.74,md,13,212,0.06607,0.17,pr,pr71404213,2023-04-11T20:28:46.410Z,"4 km WSW of Guánica, Puerto Rico",earthquake,0.74,0.5,0.201599121920931,9,reviewed,pr,pr
2023-04-11T20:10:47.647Z,35.5838,140.2569,65.889,4.4,mb,58,135,1.92,0.7,us,us6000k3lr,2023-04-11T21:53:34.729Z,"9 km SW of Yachimata, Japan",earthquake,4.58,7.589,0.086,45,reviewed,us,us
2023-04-11T20:09:43.447Z,39.5787,-120.0465,9.2,1.9,ml,23,81.42,0.072,0.1229,nn,nn00858097,2023-04-11T23:03:01.583Z,"6 km NNW of Verdi, California",earthquake,,1,0.09,7,reviewed,nn,nn
2023-04-11T20:06:50.234Z,63.0477,-149.3854,72.6,1.4,ml,,,,0.58,ak,ak0234nd845b,2023-04-11T20:08:37.549Z,"44 km SSW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-04-11T19:59:25.260Z,58.1721666666667,-155.353333333333,1.87,-0.45,ml,8,180,,0.06,av,av91844636,2023-04-12T00:53:32.570Z,"85 km NW of Karluk, Alaska",earthquake,0.23,0.41,0.152261426109784,8,reviewed,av,av
2023-04-11T19:53:00.970Z,37.4321667,-113.122,11.12,1.9,ml,12,76,0.07598,0.14,uu,uu60536811,2023-04-11T20:10:55.270Z,"13 km SSE of Kanarraville, Utah",earthquake,0.42,0.67,0.184,8,reviewed,uu,uu
2023-04-11T19:52:55.070Z,19.4281666666667,-155.307333333333,11.27,1.53,md,17,154,,0.11,hv,hv73361502,2023-04-11T20:07:38.220Z,"7 km WSW of Volcano, Hawaii",earthquake,0.59,0.51,0.112484882103822,5,reviewed,hv,hv
2023-04-11T19:42:17.790Z,38.8423347,-122.7931671,8.61,0.33,md,7,150,0.004497,0.06,nc,nc73870840,2023-04-11T20:00:14.415Z,"6km WNW of Cobb, CA",earthquake,1.85,7.51,0.22,8,automatic,nc,nc
2023-04-11T19:29:31.380Z,53.8676666666667,-166.805333333333,5.94,-0.33,ml,6,138,,0.1,av,av91844616,2023-04-11T19:48:37.350Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,0.42,0.87,0.260482819469914,6,reviewed,av,av
2023-04-11T19:14:21.720Z,38.8183327,-122.7870026,0.9,1,md,6,87,0.007073,0,nc,nc73870825,2023-04-11T19:32:13.244Z,"5km NNW of The Geysers, CA",earthquake,0.86,3.08,0.22,8,automatic,nc,nc
2023-04-11T19:13:43.230Z,32.4271667,-115.1648333,15.89,1.48,ml,13,102,0.05162,0.21,ci,ci40439688,2023-04-11T20:50:56.764Z,"8km NNE of Delta, B.C., MX",earthquake,0.54,0.77,0.262,7,reviewed,ci,ci
2023-04-11T19:07:17.327Z,61.9654,-148.9457,4.2,1.5,ml,,,,0.62,ak,ak0234ncmtpw,2023-04-11T19:09:05.034Z,"22 km NNW of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-04-11T19:04:31.810Z,19.8013333333333,-156.088,6.7,2.52,md,41,189,,0.3,hv,hv73361492,2023-04-11T21:17:14.960Z,"13 km NW of Kalaoa, Hawaii",earthquake,0.69,0.96,0.163371124844925,14,reviewed,hv,hv
2023-04-11T18:56:37.550Z,18.052,-66.9591666666667,8.59,1.5,md,3,242,0.1079,0.16,pr,pr71404208,2023-04-11T19:39:01.890Z,"2 km WNW of Liborio Negron Torres, Puerto Rico",earthquake,4.9,13.67,0.0280491493567536,3,reviewed,pr,pr
2023-04-11T18:54:46.770Z,17.9125,-66.9573333333333,15.83,2.11,md,5,238,0.09693,0.09,pr,pr71404203,2023-04-11T19:34:50.850Z,"8 km SW of Guánica, Puerto Rico",earthquake,0.92,0.7,0.0151746101166168,4,reviewed,pr,pr
2023-04-11T18:53:30.780Z,17.9901666666667,-66.96,5.92,2.25,md,5,156,0.0783,0.03,pr,pr71404178,2023-04-11T19:01:42.910Z,"4 km W of Fuig, Puerto Rico",earthquake,1.29,0.57,0.113729015894221,4,reviewed,pr,pr
2023-04-11T18:52:29.500Z,33.8923333,-116.8713333,13,1,ml,38,82,0.08498,0.13,ci,ci40439672,2023-04-11T20:39:40.825Z,"4km S of Banning, CA",earthquake,0.18,0.56,0.142,25,reviewed,ci,ci
2023-04-11T18:48:55.110Z,17.9076666666667,-66.957,15.24,2.09,md,9,240,0.09984,0.05,pr,pr71404193,2023-04-11T19:05:59.220Z,"8 km SW of Guánica, Puerto Rico",earthquake,0.5,0.44,0.124961788472127,5,reviewed,pr,pr
2023-04-11T18:36:28.180Z,36.9803352,-121.6366653,4.58,1.2,md,9,66,0.05038,0.03,nc,nc73870815,2023-04-11T21:15:13.883Z,"7km WSW of Gilroy, CA",earthquake,0.29,0.71,0.15,9,automatic,nc,nc
2023-04-11T18:21:37.625Z,61.7655,-151.0442,55,1.5,ml,,,,0.6,ak,ak0234nc4fpe,2023-04-11T18:23:23.919Z,"Southern Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-04-11T18:18:44.919Z,63.094,-150.4095,99.7,1.5,ml,,,,0.43,ak,ak0234nc3t4b,2023-04-11T18:21:12.235Z,"Central Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-04-11T17:48:16.930Z,34.1501667,-117.35,9.81,1.64,ml,66,33,0.0476,0.16,ci,ci40439656,2023-04-11T20:36:54.240Z,"1km SW of Muscoy, CA",earthquake,0.13,0.29,0.151,39,reviewed,ci,ci
2023-04-11T17:40:43.410Z,38.8344994,-122.8021698,2.1,1.09,md,21,57,0.01003,0.02,nc,nc73870795,2023-04-11T18:06:11.559Z,"7km WNW of Cobb, CA",earthquake,0.22,0.46,0.15,21,automatic,nc,nc
2023-04-11T17:40:32.910Z,37.1093333,-121.5181667,5.68,3,ml,120,31,0.05758,0.16,nc,nc73870790,2023-04-12T00:57:25.982Z,"9km ENE of San Martin, CA",earthquake,0.11,0.39,0.116,80,reviewed,nc,nc
2023-04-11T17:40:16.057Z,59.9956,-152.6417,93,1.4,ml,,,,0.31,ak,ak0234nbn11h,2023-04-11T17:42:30.217Z,"51 km W of Happy Valley, Alaska",earthquake,,1.1,,,automatic,ak,ak
2023-04-11T17:32:24.235Z,61.2937,-152.4931,2.4,1.2,ml,,,,0.92,ak,ak0234nblbu2,2023-04-11T20:25:43.770Z,"77 km WNW of Tyonek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-04-11T17:22:22.405Z,61.163,-150.07,9.9,1.7,ml,,,,0.28,ak,ak0234nbj6n4,2023-04-11T17:23:55.190Z,"10 km SW of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-04-11T17:20:49.590Z,46.05866666666667,-122.61366666666666,7.32,0.99,ml,19,144,0.1294,0.19,uw,uw61917166,2023-04-12T00:14:59.600Z,"18 km ENE of Kalama, Washington",earthquake,0.59,1.16,0.18553943557815578,8,reviewed,uw,uw
2023-04-11T17:08:23.021Z,42.2417,78.3884,1.671,4.9,mb,67,72,0.258,0.77,us,us6000k3ka,2023-04-11T19:09:15.140Z,"27 km S of Karakol, Kyrgyzstan",earthquake,6.64,2.244,0.077,56,reviewed,us,us
2023-04-11T16:52:06.360Z,17.965,-66.958,5.71,2.84,md,13,192,0.07561,0.2,pr,pr71404153,2023-04-11T17:17:40.440Z,"5 km WSW of Fuig, Puerto Rico",earthquake,1.05,0.69,0.148360835764323,13,reviewed,pr,pr
2023-04-11T16:40:58.542Z,-16.6544,167.5095,10,4.6,mb,30,77,1.236,1.11,us,us6000k3k3,2023-04-11T17:00:31.040Z,"62 km S of Lakatoro, Vanuatu",earthquake,6.94,1.755,0.109,25,reviewed,us,us
2023-04-11T16:37:04.070Z,36.9798317,-121.62117,3.3,0.93,md,7,81,0.03977,0.08,nc,nc73870780,2023-04-11T18:36:12.731Z,"6km WSW of Gilroy, CA",earthquake,0.49,1.25,0.16,7,automatic,nc,nc
2023-04-11T16:35:15.690Z,37.4305,-113.1281667,9.7,1.74,ml,14,61,0.0743,0.12,uu,uu60536781,2023-04-11T16:50:47.700Z,"13 km SSE of Kanarraville, Utah",earthquake,0.32,0.62,0.264,7,reviewed,uu,uu
2023-04-11T16:34:24.990Z,37.4296667,-113.1156667,9.28,1.41,ml,11,81,0.07384,0.09,uu,uu60536786,2023-04-11T16:55:57.330Z,"13 km SSE of Kanarraville, Utah",earthquake,0.36,0.61,0.312,5,reviewed,uu,uu
2023-04-11T16:24:41.260Z,61.0963,-148.6053,19.4,1.4,ml,,,,0.41,ak,ak0234nay7xa,2023-04-11T16:26:15.666Z,"34 km ENE of Girdwood, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-04-11T16:21:32.539Z,36.7422,-116.1663,4.9,-0.4,ml,4,234.01,0.037,0.0677,nn,nn00858112,2023-04-12T00:20:21.893Z,"48 km WNW of Indian Springs, Nevada",earthquake,,3.6,0,1,reviewed,nn,nn
2023-04-11T16:19:14.088Z,-31.425,-71.9984,27.325,4.3,mb,27,131,0.811,0.49,us,us6000k3j3,2023-04-11T16:43:46.040Z,"82 km WNW of Illapel, Chile",earthquake,5.1,8.045,0.376,2,reviewed,us,us
2023-04-11T16:17:03.102Z,65.0202,-147.0321,10.1,1.4,ml,,,,1.13,ak,ak0234nawmz8,2023-04-11T16:20:42.846Z,"16 km N of Two Rivers, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-04-11T16:11:39.120Z,37.3672,-117.0822,8.1,0.5,ml,3,230.56,0.364,0.0754,nn,nn00858110,2023-04-12T00:11:05.570Z,"40 km SSE of Goldfield, Nevada",earthquake,,31.4,0.15,3,reviewed,nn,nn
2023-04-11T16:07:20.277Z,-21.1286,-68.6508,127.051,4.6,mb,24,98,0.786,1.04,us,us6000k3ic,2023-04-11T16:34:53.040Z,"149 km N of Calama, Chile",earthquake,4.82,6.699,0.193,9,reviewed,us,us
2023-04-11T16:06:24.980Z,53.8721666666667,-166.551166666667,4.28,0.15,ml,5,172,,0.18,av,av91844521,2023-04-11T17:38:29.660Z,"1 km W of Unalaska, Alaska",earthquake,0.64,1.6,0.156370182204616,5,reviewed,av,av
2023-04-11T15:58:49.760Z,61.5606,-149.6538,39.8,2,ml,,,,0.54,ak,ak0234nak3bk,2023-04-11T16:00:33.958Z,"6 km NNW of Knik-Fairview, Alaska",earthquake,,1.2,,,automatic,ak,ak
2023-04-11T15:55:18.742Z,39.1741,-120.3403,19.3,0.9,ml,3,292.81,0.17,0.0008,nn,nn00858109,2023-04-12T00:04:54.460Z,"15 km W of Sunnyside-Tahoe City, California",earthquake,,16.9,0,1,reviewed,nn,nn
2023-04-11T15:52:06.540Z,18.9581666666667,-155.4475,33.24,1.94,md,28,235,,0.13,hv,hv73361427,2023-04-11T21:25:17.700Z,"18 km SE of Naalehu, Hawaii",earthquake,0.6,0.97,0.123774985471975,11,reviewed,hv,hv
2023-04-11T15:48:25.900Z,38.8059998,-122.774498,0.97,0.29,md,7,107,0.008713,0.02,nc,nc73870760,2023-04-11T16:06:13.905Z,"4km NNW of The Geysers, CA",earthquake,0.48,1.21,0.06,8,automatic,nc,nc
2023-04-11T15:40:53.616Z,63.0859,-151.5443,0.1,1.8,ml,,,,0.81,ak,ak0234nag8q9,2023-04-11T15:43:14.257Z,"51 km S of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
